word,level
abrasive,3
boundary,3
disappointed,3
gazelle,3
obedient,3
absentee,3
braille,3
disapproval,3
geranium,3
obstacle,3
absolve,3
business,3
discerning,3
ghastly,3
opposite,3
accomplished,3
cajole,3
discontinue,3
gimmick,3
original,3
acrid,3
calamari,3
discordant,3
hackneyed,3
passionfruit,3
adjust,3
capacity,3
dissuade,3
handkerchief,3
pedestal,3
adornment,3
carafe,3
diversity,3
heptathlon,3
perilous,3
affluent,3
caramel,3
dossier,3
hostility,3
priority,3
aggressive,3
cashmere,3
dubious,3
hydroponics,3
prospector,3
allure,3
causeway,3
dunnart,3
hysterical,3
pungent,3
alphabet,3
cavalry,3
dynamic,3
imperative,3
pyramid,3
alteration,3
certificate,3
eavesdrop,3
implicit,3
questionable,3
ancestor,3
collective,3
ebony,3
imprudent,3
ricotta,3
angora,3
committee,3
eighteen,3
incongruous,3
salient,3
aniseed,3
competitive,3
elusive,3
inhumane,3
serpentine,3
appease,3
complaint,3
embellish,3
injunction,3
silicone,3
armament,3
compulsory,3
enterprise,3
innumerable,3
simulcast,3
attentive,3
condiment,3
exceed,3
insignia,3
souvenir,3
aversion,3
conference,3
excitable,3
insincere,3
suite,3
avocado,3
contraband,3
executive,3
insurance,3
superfluous,3
awesome,3
courtesy,3
expedition,3
integrate,3
surrender,3
barista,3
decipher,3
fishmonger,3
irregular,3
tandoori,3
basmati,3
delight,3
forensic,3
luminous,3
tangent,3
bauble,3
departure,3
forgery,3
marmalade,3
tendency,3
begrudge,3
dessert,3
forthright,3
merciless,3
thermostat,3
beret,3
destitute,3
fraternal,3
mischief,3
thoughtful,3
billabong,3
detective,3
frenzied,3
monotreme,3
tiresome,3
blithely,3
dictionary,3
ganache,3
monumental,3
underlie,3
blockade,3
diffident,3
gardenia,3
mosquito,3
urgency,3
blustery,3
diploma,3
garrulous,3
negligent,3